"","x"
"1",".Net"
"2",".Net 3.0"
"3",".Net 4.0"
"4","2.5G"
"5","2G"
"6","2TUP"
"7","3.5G"
"8","3d studio max"
"9","3DES"
"10","3G"
"11","3G"
"12"," Wifi"
"13"," IPhone "
"14"," Android"
"15","3GPP IMS"
"16","3PL & 4PL"
"17","4D"
"18","4Sight"
"19","5M / arbre d'Ishikawa"
"20","5S"
"21","802.1q"
"22","802.1x"
"23","8D"
"24","A&P"
"25","A.L.M."
"26","ABAP SAP/R3"
"27","ABC"
"28","ABC/ABM"
"29","ABD0100"
"30","ACI Base24-eps"
"31","ACL Audit"
"32","ACMS"
"33","ActionScript 2"
"34","Actionscript 3"
"35","Ada95"
"36","ADELIA 400"
"37","IBM 3270"
"38","ADO.Net"
"39","Adobe Flash Builder 4"
"40","CS4"
"41","2.x"
"42","3.x"
"43","4.x"
"44","CS2"
"45","CS4"
"46","X3"
"47","Agenda 21"
"48","AIX 4.3"
"49","AIX 5"
"50","Ajax.net"
"51","MSAW"
"52","STCA"
"53","APW"
"54","Amapi 3D"
"55","AMaViS"
"56","AWS EC2/S3"
"57","AMC*Designor"
"58","AMQP"
"59","AMS"
"60","signaux 1D et 2D"
"61","Apache Axis2"
"62","Apache Maven 2"
"63","Apache Xerces-J"
"64","APEX"
"65","API Win32"
"66","Apriso FlexNet 9.5"
"67","AS2"
"68","AS400"
"69","ASN.1"
"70","MVC 2"
"71","ASP.Net MVC 3"
"72","Aspose.Words"
"73","Assembleur 8086"
"74","Assembleur Motorola 68000"
"75","Assistance MOE"
"76","Atelier2D3D"
"77","Atlas 400"
"78","ISO 27001"
"79"," ISO 27002"
"80","Audit J-SOX"
"81","Audit SI"
"82","SAS70"
"83","ISO 9000"
"84","ISO 9001"
"85","3ds max"
"86","ATV"
"87","K2"
"88","Avamar"
"89","Away3D"
"90","Awk"
"91","AWT"
"92","axapta"
"93","Axiant 4GL"
"94","AXODB"
"95","Axway XOC"
"96","Axway XOS"
"97","B2Bi"
"98","Baan IV"
"99","Baan Tools"
"100","Backbone.JS"
"101","Bâle II"
"102","C-Tree"
"103","Base64"
"104","BETA 92"
"105","DPS 90"
"106","DPS 6"
"107","DPS 7"
"108","DPS 8"
"109","IDS 2"
"110","DPS90"
"111","DPS6"
"112","DPS7"
"113","DPS8"
"114","IDS2"
"115","Bus 1553"
"116","Bus I²C"
"117","Business Object Data Services XI 3.0"
"118","Business Objects 5.5"
"119","Business Objects Crystal Reports 10"
"120","Business Objects Dashboards 6"
"121","Integrator XI"
"122","Services XI 3.0"
"123","Services XI 3.2"
"124","Business Objects Enterprise 5"
"125","Business Objects Enterprise XI R2"
"126","Business Objects Enterprise XI 3"
"127","Enterprise XI"
"128","Enterprise XI R2"
"129","Business Objects Enterprise XI R3"
"130","Business Objects Set Analysis 6"
"131","Business Objects Set Analysis XI"
"132","Business Objects Web Intelligence 5"
"133","Business Objects Web Intelligence 6"
"134","Business Objects Web Intelligence XI R2"
"135","Business Objects Web Intelligence XI 3"
"136","BusinessComponents4Java"
"137","BW 7.0"
"138","C#"
"139","C++"
"140","CA Advanced Workflow 8.1 SP2"
"141","CA-7"
"142","CADDS 5"
"143","Catia V4"
"144","Catia V5"
"145","Cerberus helpdesk 4"
"146","Certificat"
"147","CFM"
"148","CI-ARC+"
"149","Cisco PIX 501"
"150","Cisco PIX 515"
"151","Clear2Pay"
"152","Client Access 5.8"
"153","Cobol Microfocus NetExpress 3.1"
"154","Cognos 8 BI"
"155","Cognos 8 Planning"
"156","Cognos DataManager 8.2 "
"157","SDO V2"
"158","M4"
"159","Macro4"
"160","COM+"
"161","6.0.03"
"162","6.1.03"
"163","6.2.03"
"164","6.2.0"
"165","6.4"
"166","3DES"
"167","PKCS#7"
"168","PKCS#10"
"169","PKCS#11"
"170","PKCS#13"
"171","PKCS#15"
"172","3DES"
"173","D0178B"
"174","DataStage V7"
"175","DataStage V7.5"
"176","DB Designer 4"
"177","DB-AS400"
"178","J2EE"
"179","DL/1"
"180","DO160"
"181","D2"
"182","Dom4J"
"183",".Project"
"184","Part 145"
"185","5.0"
"186","6.0"
"187","V5"
"188","V4"
"189","ISO14001"
"190","ISO 14001"
"191","ESU4"
"192","Tcl/Tk"
"193","GCOS"
"194","GCOS6"
"195","GCOS7"
"196","GCOS8"
"197","B2B"
"198","B2C"
"199","2.x"
"200","5.3"
"201","GRID5000"
"202","GTK+"
"203","H.248"
"204","H.323"
"205","H2"
"206","HP 3000 MPE"
"207","Suite 7"
"208","Suite V5"
"209","Suite V3e"
"210","IBM 3"
"211","IBM 3090"
"212","IBM 36"
"213","IBM 4341"
"214","IBM 4381"
"215","IBM 43XX"
"216","DB2"
"217","v6"
"218","J++"
"219","3D"
"220","DB2"
"221","6.0"
"222","v2"
"223","v9"
"224","J2EE"
"225","J2ME"
"226","J2SE"
"227","2D"
"228","3D"
"229","EE 5"
"230","J#"
"231","JEE5"
"232","EJB3"
"233","JES2"
"234","IDP250"
"235","L4G"
"236","M3"
"237","LM7"
"238","F5"
"239","Log4C"
"240","Log4j"
"241","log4net"
"242","Lotus 1.2.3."
"243","LTR 3"
"244","LUA"
"245","Mark 4 & 5"
"246","MEPG4"
"247","Merise/2"
"248","Meta4"
"249","Microsoft BI 2005"
"250","Microsoft EPM 2003"
"251","Microsoft EPM 2007"
"252","Microsoft Office SharePoint Server 2007"
"253","Microsoft OneNote 2007"
"254","2008 R2"
"255","Server 2003"
"256","MINX"
"257","MIPv6"
"258","MIR3 TelAlert"
"259","MISTY1"
"260","Motorola 6809"
"261","MPEG4"
"262","MS Exchange 2003"
"263","MS Exchange 2007"
"264","MS Exchange 5.5"
"265","MS Net 3.0"
"266","R2"
"267","2010"
"268","2005"
"269","2000"
"270","2008"
"271","2003"
"272","2010"
"273",".JS"
"274","DO-178B"
"275","DoD-2167A"
"276","GAM-T-17"
"277","ISO 17799"
"278","ISO 27001"
"279","ISO 27002"
"280","ISO 27005"
"281","ISO 9000"
"282","ISO 9001"
"283","S88"
"284","S95"
"285","IFRS"
"286","ISO TC211"
"287","X509"
"288","O2"
"289","SGBDOO"
"290","OC4J"
"291","OPX2"
"292","10.5"
"293","10g"
"294","11g"
"295","Oracle 6"
"296","Oracle 7"
"297","Oracle 7.2.3"
"298","Oracle 7.3"
"299","Oracle 7.3.4"
"300","Oracle 8.1.6"
"301","Oracle 8.1.7"
"302","Oracle 8i"
"303","Oracle 9.2"
"304","Oracle 9i"
"305","OS/2"
"306","OS/400"
"307","OS/VS2"
"308","OS9000"
"309","OSF1"
"310","P6Spy"
"311","PABX Alcatel 4400"
"312","Insure++"
"313","Patch Management Solution 6"
"314","Patch Manager 8.5"
"315","Pervasive.SQL"
"316","PHP4"
"317","PHP5"
"318","PKCS#7"
"319","11"
"320","12"
"321","15"
"322","PL/1"
"323","PL16"
"324","PL7 PRO"
"325","PL7pro"
"326","Powerplay 6.6"
"327","ProdStar 2"
"328","Conso +"
"329","E2"
"330","PSN8"
"331","Quanta+"
"332","Basic 45"
"333","R"
"334","R/2"
"335","R/3 4.7"
"336","RC4"
"337","RC5"
"338","26D"
"339","DO178B"
"340","EN9100"
"341","Routeurs 3COM"
"342","RPG400"
"343","RS/6000"
"344","RS232/RS422"
"345","X3"
"346",".com"
"347","6.0"
"348","R/3"
"349","V6"
"350","ISO-7816"
"351","ISO- 7416-3"
"352","SHA-1"
"353","SHA-256"
"354","SHA-1"
"355","SHA-256"
"356","MOTO 6809"
"357",".eView"
"358","Solaris 10"
"359","Solaris 8"
"360","Solaris 9"
"361","Solaris10 - ZFS"
"362","SolidEdge"
"363","SolidWorks"
"364","Solvabilité"
"365","Solvabilité II"
"366","Spip 1.8b2"
"367","S-Plus"
"368","Spring .NET"
"369","Spring 2"
"370","SQL 92"
"371","SQL*NET"
"372","SQL*plus"
"373","SS7"
"374","SSOX (Avencis)"
"375","StAX"
"376","STEP 5"
"377","STEP 7"
"378","Struts 2"
"379","Suite CQTM/RMT/RFT"
"380","Sun xVM server"
"381","Support Niveau 1"
"382","Support Niveau 2"
"383","Support Niveau 3"
"384","Sybase_PowerDesigner"
"385","TARGET2"
"386","TASE.2"
"387","TAU G2"
"388","TB/TS/TD"
"389","Tcl/Tk"
"390","TCP/IP"
"391","TeamCenter 2007 unified (Siemens PLM)"
"392","TNC IF-MAP"
"393","TP8"
"394","TPM - vTPM"
"395","Trace32"
"396","Transformer 6.61"
"397","Transport CTS+"
"398","TR-CB"
"399","TR-CM"
"400","TR-LO"
"401","T-SQL"
"402","TTI Netrac"
"403","Turbo C"
"404","Typo3"
"405","TZAR II"
"406","UART rs232"
"407","Unity3D"
"408","UNIX TRU64"
"409","USB 2.0"
"410","V2PVCS"
"411","V9 Assurances IARD (ITN)"
"412","VB 4"
"413","VB 5"
"414","VB 6"
"415","VB.NET"
"416","K2"
"417","ESXi 4.1"
"418","VT100"
"419","W4"
"420","Web 2.0"
"421","7.1"
"422","8.2"
"423","6.1"
"424","Win@proach"
"425","Win’Design"
"426","WinCE .NET"
"427","Windows 2000"
"428","Windows 2003"
"429","Windows 2012"
"430","Windows 3.1"
"431","Windows 7"
"432","Windows 95"
"433","Windows 9x"
"434","Windows NT 3.5.1"
"435","Windows NT 4"
"436","Windows Phone 7"
"437","Windows Server 2003"
"438","Windows Server 2008"
"439","Windows Server 2008 R2"
"440","WordPress 2"
"441","WS-CDL"
"442","X 400"
"443","X 500"
"444","X.25"
"445","X++"
"446","X11"
"447","X32"
